query	accession	host_context	chromosome	ref_id	chromosome_class	chromosome_length_bp	aligned_bp	percent_aligned	alignment_blocks	weighted_mean_identity	largest_block_bp	same_orientation_aligned_bp	opposite_orientation_aligned_bp
FoCL57	GCA_000260155.3	tomato_crown_root_rot	13	NC_030998.1	core	1751499	1630594	93.0971	109	97.8697	85938	4663	1625952
FoCL57	GCA_000260155.3	tomato_crown_root_rot	14	NC_030999.1	lineage_specific	1838362	192108	10.4500	209	93.1486	5070	76704	118170
FoCL57	GCA_000260155.3	tomato_crown_root_rot	15	NC_031000.1	lineage_specific	2434640	320577	13.1673	256	93.6163	16072	150476	178350
FoCotton	GCA_000260175.2	cotton_wilt	1	NC_030986.1	core	6854980	5479566	79.9356	350	98.4358	132142	3715895	1767945
FoCotton	GCA_000260175.2	cotton_wilt	2	NC_030987.1	core	5577357	4499321	80.6712	401	98.0654	171860	2604206	1903022
FoCotton	GCA_000260175.2	cotton_wilt	3	NC_030988.1	lineage_specific	5634991	991959	17.6036	716	94.5527	15510	505810	521248
FoCotton	GCA_000260175.2	cotton_wilt	4	NC_030989.1	core	5212762	4735659	90.8474	344	97.9690	177642	1103895	3634720
FoCotton	GCA_000260175.2	cotton_wilt	5	NC_030990.1	core	4914260	4622727	94.0676	321	98.1065	135812	3752344	872323
FoCotton	GCA_000260175.2	cotton_wilt	6	NC_030991.1	lineage_specific	4589937	746963	16.2739	623	94.1683	11044	329860	433332
FoCotton	GCA_000260175.2	cotton_wilt	7	NC_030992.1	core	4347182	4083154	93.9265	279	98.0803	145976	1247951	2835684
FoCotton	GCA_000260175.2	cotton_wilt	8	NC_030993.1	core	3984410	3680343	92.3686	303	97.9288	195275	2700472	982334
FoCotton	GCA_000260175.2	cotton_wilt	9	NC_030994.1	core	3304701	3005582	90.9487	250	97.9731	143074	1630891	1376245
FoCotton	GCA_000260175.2	cotton_wilt	10	NC_030995.1	core	2896840	2551805	88.0893	213	97.6563	157281	206711	2345124
FoCotton	GCA_000260175.2	cotton_wilt	11	NC_030996.1	core	2337134	2084307	89.1822	234	96.9462	82861	1184792	900420
FoCotton	GCA_000260175.2	cotton_wilt	12	NC_030997.1	core	2233407	2015237	90.2315	241	96.4568	68679	944225	1071248
FoCotton	GCA_000260175.2	cotton_wilt	13	NC_030998.1	core	1751499	1563994	89.2946	170	96.9330	79595	852196	711822
FoCotton	GCA_000260175.2	cotton_wilt	14	NC_030999.1	lineage_specific	1838362	527266	28.6813	467	94.4710	7729	248175	293654
FoCotton	GCA_000260175.2	cotton_wilt	15	NC_031000.1	lineage_specific	2434640	511097	20.9927	386	94.1654	11922	246258	286611
FolD11	GCA_003977725.1	tomato_wilt	1	NC_030986.1	core	6854980	6465384	94.3166	156	99.9340	281899	6465384	0
FolD11	GCA_003977725.1	tomato_wilt	2	NC_030987.1	core	5577357	4876241	87.4292	162	99.8690	214442	4674748	207758
FolD11	GCA_003977725.1	tomato_wilt	3	NC_030988.1	lineage_specific	5634991	2376923	42.1815	120	99.8020	115763	1411396	966986
FolD11	GCA_003977725.1	tomato_wilt	4	NC_030989.1	core	5212762	5105481	97.9420	109	99.9457	231848	0	5105481
FolD11	GCA_003977725.1	tomato_wilt	5	NC_030990.1	core	4914260	4795569	97.5848	126	99.9426	279739	6551	4794757
FolD11	GCA_003977725.1	tomato_wilt	6	NC_030991.1	lineage_specific	4589937	2481413	54.0620	158	99.7053	121097	2379977	112502
FolD11	GCA_003977725.1	tomato_wilt	7	NC_030992.1	core	4347182	4287406	98.6249	105	99.9410	268628	4287406	0
FolD11	GCA_003977725.1	tomato_wilt	8	NC_030993.1	core	3984410	3920201	98.3885	103	99.9262	233380	3918420	1781
FolD11	GCA_003977725.1	tomato_wilt	9	NC_030994.1	core	3304701	3269566	98.9368	88	99.9528	222134	3133374	136207
FolD11	GCA_003977725.1	tomato_wilt	10	NC_030995.1	core	2896840	2837002	97.9344	79	99.9211	234063	5013	2834102
FolD11	GCA_003977725.1	tomato_wilt	11	NC_030996.1	core	2337134	2298582	98.3505	42	99.9552	210825	2298582	0
FolD11	GCA_003977725.1	tomato_wilt	12	NC_030997.1	core	2233407	2214662	99.1607	66	99.9240	131456	2213909	761
FolD11	GCA_003977725.1	tomato_wilt	13	NC_030998.1	core	1751499	1712977	97.8006	43	99.9505	195346	1712977	0
FolD11	GCA_003977725.1	tomato_wilt	14	NC_030999.1	lineage_specific	1838362	1454750	79.1329	95	99.8337	95402	233807	1232154
FolD11	GCA_003977725.1	tomato_wilt	15	NC_031000.1	lineage_specific	2434640	1662719	68.2942	64	99.8809	107865	33678	1635561
